20 20
1 :3.559248  20 :6.551377  
2 :8.511313  21 :1.491612  
3 :2.690032  22 :3.027956  
4 :1.176224  23 :6.820399  
5 :7.921466  24 :2.020449  
6 :6.416617  25 :8.089559  
7 :5.586986  26 :2.869369  
8 :7.112621  27 :1.830874  
9 :9.680891  28 :5.601479  
10 :0.526560  29 :0.337986  
11 :9.306850  30 :8.366806  
12 :5.860647  31 :6.911672  
13 :1.238539  32 :9.981286  
14 :6.598052  33 :8.780035  
15 :4.706343  34 :8.080774  

17 :4.178953  36 :8.265590  
18 :4.632151  37 :2.690266  
19 :9.757203  38 :7.322183  
39 :5.718223  
21 :0.933426  40 :4.142582  
22 :3.639689  41 :2.953876  
23 :0.559198  42 :1.729248  
24 :8.540862  43 :3.428567  
25 :8.841870  44 :0.371736  
26 :3.109458  45 :4.443349  
27 :0.898296  46 :3.447444  
28 :3.750198  47 :9.265102  
29 :9.308091  48 :0.661870  
30 :0.503641  49 :9.289376  
31 :7.259923  50 :9.283676  
32 :3.995719  51 :5.340697  
33 :3.462630  52 :2.261309  
34 :9.972848  53 :6.152896  
35 :2.018512  54 :7.295031  


38 :1.871119  57 :2.951938  
39 :1.437612  58 :5.510808  
59 :5.905814  
41 :1.996811  60 :7.240056  
42 :4.446676  61 :5.425377  
43 :6.081925  62 :4.818412  
44 :8.534835  63 :0.525274  
45 :5.716708  64 :1.982279  
46 :4.275472  65 :4.981810  
47 :1.290370  66 :4.937343  
48 :5.485452  67 :0.579746  
49 :2.197265  68 :4.769128  
50 :4.575465  69 :7.537962  
51 :8.231758  70 :6.836775  
52 :7.510810  71 :4.384654  
53 :8.855287  72 :4.805841  
54 :6.255773  73 :1.807225  
55 :6.243453  74 :1.766581  

57 :7.713039  76 :8.240264  
58 :9.006636  77 :2.159714  
59 :3.665641  78 :5.088562  
79 :6.978126  
61 :2.200476  80 :5.613836  
62 :2.694834  81 :4.182755  
63 :9.889308  82 :7.676645  
64 :5.473125  83 :4.826651  
65 :3.162097  84 :6.052871  
66 :7.023916  85 :7.931225  
67 :0.628336  86 :4.561878  
68 :6.162983  87 :7.465111  
69 :2.072688  88 :0.547637  
70 :6.320398  89 :6.878529  
71 :6.803410  90 :8.127623  
72 :3.121982  91 :8.569991  
73 :5.840662  92 :1.362245  
74 :7.576627  93 :8.000376  
75 :5.027886  94 :2.665189  

77 :4.978503  96 :7.228362  
78 :8.279025  97 :7.673337  
79 :1.411117  98 :8.168333  
99 :5.349982  
81 :6.884242  100 :2.994984  
82 :8.512079  101 :2.937114  
83 :0.018899  102 :6.443304  
84 :3.565450  103 :4.580777  
85 :2.606287  104 :1.030561  
86 :6.653465  105 :3.153924  
87 :7.350959  106 :3.531994  
88 :9.957335  107 :5.478582  
89 :6.653976  108 :8.527325  
90 :1.319243  109 :8.016221  
91 :6.103953  110 :9.319619  
92 :3.044107  111 :8.769142  
93 :4.298122  112 :0.272470  
94 :7.048166  113 :1.971459  
95 :1.683587  114 :5.216499  


98 :7.321441  117 :8.567830  
99 :8.211483  118 :5.833520  
119 :1.504943  
101 :8.230382  120 :2.276824  
102 :5.070393  121 :2.811159  
103 :4.883111  122 :6.100954  
104 :9.464625  123 :8.037035  
105 :3.451913  124 :2.996619  
106 :7.994370  125 :8.930495  
107 :9.650595  126 :6.521695  
108 :0.249738  127 :7.666816  
109 :2.625648  128 :9.569357  
110 :0.710923  129 :1.394789  
111 :3.867479  130 :0.983393  
112 :8.442955  131 :5.838938  
113 :2.666980  132 :3.659455  
114 :3.160379  133 :1.234810  
115 :1.870938  134 :8.993899  

117 :2.739753  136 :0.101320  
118 :1.270722  137 :7.810146  
119 :2.912479  138 :6.153833  
139 :3.911100  
121 :2.377104  140 :4.190868  
122 :7.363013  141 :5.373723  
123 :2.185238  142 :6.293507  
124 :5.024317  143 :8.706933  
125 :6.543245  144 :2.691133  
126 :1.332580  145 :6.112602  
127 :3.402056  146 :2.727370  
128 :9.980081  147 :4.385449  
129 :1.170325  148 :5.819019  
130 :7.052429  149 :4.829780  
131 :8.979398  150 :8.287239  
132 :6.700717  151 :7.973297  
133 :1.026992  152 :6.802037  
134 :9.244019  153 :8.837138  
135 :9.714517  154 :5.397852  

137 :2.748238  156 :2.091621  
138 :9.588720  157 :0.111251  
139 :7.465343  158 :1.773958  
159 :6.404758  
141 :2.489661  160 :0.480891  
142 :2.948004  161 :5.180794  
143 :1.813471  162 :9.060606  
144 :8.582850  163 :4.540841  
145 :9.040687  164 :2.968300  
146 :5.711166  165 :4.859706  
147 :0.020729  166 :0.540946  
148 :3.839104  167 :8.307968  
149 :7.241663  168 :1.812401  
150 :9.334961  169 :4.043700  
151 :1.056419  170 :8.172099  
152 :3.758217  171 :6.454271  
153 :0.920337  172 :5.849838  
154 :6.042991  173 :1.031588  
155 :3.315181  174 :7.816949  

157 :7.436346  176 :5.804842  
158 :8.297840  177 :0.384350  
159 :0.985636  178 :0.111311  
179 :9.444955  
161 :9.568486  180 :4.652152  
162 :8.485642  181 :2.536786  
163 :0.363317  182 :3.345349  
164 :2.557515  183 :0.904263  
165 :7.184453  184 :0.865484  
166 :8.145926  185 :8.996853  
167 :0.200444  186 :2.189626  
168 :0.053272  187 :8.372543  
169 :5.947843  188 :6.507544  
170 :9.292880  189 :1.797681  
171 :2.550535  190 :0.324467  
172 :5.112862  191 :0.367484  
173 :7.760814  192 :0.917704  
174 :8.665324  193 :8.145163  
175 :1.903340  194 :8.776634  

177 :7.590119  196 :1.471826  
178 :3.428786  197 :6.075761  
179 :4.008612  198 :3.792103  
199 :9.421110  


183 :6.566128  202 :4.696366  
184 :6.605562  203 :7.431611  
185 :2.842292  204 :5.602415  
186 :7.632055  205 :5.031918  
187 :5.655688  206 :6.004598  
188 :0.979761  207 :2.163231  
189 :5.297478  208 :2.777442  
190 :4.713766  209 :5.621945  
191 :7.890304  210 :5.081250  
192 :3.382759  211 :8.808008  
