30 30
1 :7.551945  30 :4.508824
2 :7.667670  31 :5.010472
3 :3.886392  32 :0.801312
4 :8.223763  33 :3.934313
5 :9.158815  34 :4.982686
6 :9.438916  35 :0.085020
7 :4.503837  36 :9.970784
8 :5.055409  37 :3.616077
9 :8.910357  38 :2.780950
10 :2.727084  39 :6.680176
11 :1.665383  40 :2.198011
12 :7.469045  41 :5.042068
13 :0.686289  42 :3.833364
14 :7.850534  43 :7.206542
15 :9.544923  44 :7.619031
16 :3.392038  45 :3.234431
17 :0.780999  46 :7.722065
18 :1.404090  47 :1.518533
19 :5.523282  48 :1.599452
20 :4.734396  49 :7.637875
21 :9.734201  50 :8.145501
22 :5.494831  51 :4.715632
23 :3.149272  52 :0.042373
24 :4.280202  53 :0.201518
25 :5.732576  54 :8.914745
26 :3.373739  55 :6.413043
27 :7.089244  56 :1.294527
28 :5.900972  57 :0.648225
29 :4.794484  58 :9.881139
59 :1.823085
31 :7.842655  60 :8.436750
32 :6.786740  61 :8.618682
33 :4.805785  62 :7.516617
34 :4.943368  63 :6.693532
35 :7.415746  64 :0.871582
36 :2.901571  65 :6.366398
37 :7.225970  66 :0.762580
38 :7.420810  67 :8.426895
39 :6.863911  68 :1.893221
40 :8.943705  69 :2.048876
41 :3.208815  70 :0.959754
42 :3.430328  71 :6.904012
43 :0.430240  72 :9.632445
44 :1.590413  73 :4.452372
45 :3.387456  74 :5.611058
46 :4.461297  75 :3.687788
47 :3.222229  76 :8.007108
48 :9.306571  77 :0.185591
49 :4.352648  78 :6.819729
50 :9.280159  79 :3.744379
51 :6.670285  80 :1.379073
52 :5.692872  81 :6.057724
53 :5.086884  82 :7.729019
54 :6.699870  83 :9.057272
55 :5.339809  84 :2.015888
56 :5.661864  85 :1.736405
57 :0.604700  86 :9.312468
58 :3.537033  87 :0.106228
59 :4.858363  88 :4.932368
89 :7.829203
61 :5.573475  90 :9.935748
62 :0.691354  91 :3.133727
63 :6.646527  92 :9.566837
64 :0.005142  93 :7.129293
65 :6.798909  94 :0.044364
66 :7.749632  95 :1.527187
67 :6.937015  96 :7.898885
68 :0.105839  97 :8.012882
69 :2.214729  98 :0.596581
70 :0.437839  99 :5.431146
71 :5.693001  100 :8.447663
72 :8.211147  101 :9.140176
73 :6.990772  102 :2.370332
74 :9.343172  103 :4.180679
75 :1.910219  104 :8.778380
76 :0.539213  105 :0.447602
77 :7.980110  106 :9.634457
78 :7.980782  107 :5.962699
79 :1.261492  108 :9.558230
80 :3.687883  109 :6.201267
81 :8.834082  110 :8.486390
82 :3.398762  111 :7.153258
83 :6.276704  112 :4.309648
84 :9.469401  113 :3.121794
85 :7.735134  114 :1.978142
86 :0.042904  115 :8.438414
87 :5.019225  116 :3.002069
88 :9.913197  117 :7.822792
89 :2.388122  118 :9.492882
119 :9.141295
91 :9.125343  120 :6.896946
92 :3.241145  121 :3.447222
93 :4.577746  122 :9.419994
94 :4.870290  123 :1.450930
95 :9.163957  124 :1.676218
96 :6.237825  125 :0.956603
97 :2.253469  126 :6.337181
98 :1.992423  127 :4.378657
99 :9.016196  128 :1.207845
100 :4.941813  129 :8.573397
101 :2.103222  130 :4.246887
102 :3.162046  131 :6.001822
103 :8.897436  132 :0.737376
104 :4.841305  133 :6.838988
105 :8.888095  134 :2.071402
106 :5.302257  135 :8.845490
107 :1.320213  136 :1.409853
108 :9.384200  137 :9.525641
109 :3.504063  138 :1.785044
110 :5.995888  139 :4.457604
111 :3.422084  140 :1.889880
112 :4.328913  141 :6.094705
113 :6.548034  142 :6.100096
114 :0.556906  143 :7.930538
115 :5.201977  144 :7.972018
116 :1.108873  145 :8.428931
117 :7.132148  146 :3.030932
118 :0.920197  147 :9.960693
119 :4.707682  148 :9.987367
149 :6.755453
121 :2.760527  150 :3.144432
122 :5.912084  151 :8.554429
123 :8.046931  152 :0.650344
124 :9.521114  153 :6.260369
125 :2.286037  154 :8.000876
126 :2.065528  155 :6.410762
127 :3.463795  156 :2.289767
128 :9.674279  157 :6.325779
129 :8.856335  158 :9.906103
130 :7.959901  159 :2.645457
131 :8.150628  160 :6.390900
132 :5.533550  161 :5.351675
133 :3.592285  162 :8.772622
134 :0.487849  163 :6.822703
135 :8.228761  164 :9.791737
136 :3.349392  165 :2.466168
137 :8.524486  166 :8.454710
138 :0.626784  167 :9.820048
139 :3.736848  168 :2.782428
140 :2.784222  169 :3.302609
141 :2.666172  170 :7.580340
142 :9.114956  171 :4.544113
143 :9.415797  172 :4.882277
144 :3.247904  173 :3.366920
145 :5.896715  174 :5.137681
146 :0.863840  175 :3.714546
147 :1.713574  176 :7.750882
148 :0.669181  177 :3.108297
149 :5.778560  178 :2.755160
179 :7.322085
151 :9.385747  180 :5.714308
152 :3.451881  181 :0.030673
153 :2.558611  182 :3.014059
154 :8.052073  183 :6.549287
155 :6.320023  184 :1.495294
156 :0.035668  185 :3.203406
157 :9.002543  186 :8.855488
158 :3.569634  187 :4.350063
159 :1.889008  188 :4.975238
160 :9.294174  189 :6.638990
161 :3.652902  190 :7.021060
162 :6.361775  191 :3.387063
163 :2.524322  192 :8.372154
164 :2.935458  193 :4.918055
165 :2.398069  194 :5.617367
166 :8.767974  195 :2.519004
167 :1.329502  196 :8.479946
168 :6.505268  197 :7.372552
169 :1.888276  198 :9.083871
170 :7.424730  199 :7.986310
171 :1.618304  200 :2.943994
172 :6.064934  201 :9.043138
173 :5.391661  202 :0.404353
174 :8.885198  203 :9.221890
175 :0.983038  204 :9.908679
176 :5.939619  205 :6.410431
177 :5.883065  206 :1.431000
178 :1.626771  207 :0.853724
179 :3.057303  208 :9.453575
209 :9.128663
181 :5.558814  210 :9.954248
182 :2.626892  211 :6.591654
183 :8.029628  212 :7.974423
184 :7.428901  213 :2.101274
185 :7.216030  214 :7.936587
186 :2.557848  215 :8.957478
187 :2.289137  216 :2.747943
188 :0.994966  217 :6.668424
189 :2.585829  218 :7.533624
190 :6.830821  219 :8.479499
191 :1.397396  220 :6.892344
192 :6.814947  221 :2.392722
193 :5.259211  222 :6.089051
194 :7.365627  223 :5.611609
195 :1.823553  224 :8.894106
196 :7.700326  225 :8.637227
197 :0.088187  226 :3.876021
198 :0.713702  227 :7.980351
199 :0.009331  228 :1.605092
200 :7.884164  229 :7.240032
201 :0.846814  230 :5.192489
202 :5.947217  231 :3.675044
203 :2.612969  232 :0.644210
204 :5.948567  233 :2.812815
205 :4.087175  234 :1.338938
206 :2.091912  235 :3.566612
207 :3.071767  236 :6.745478
